account_id,company_name,segment,industry,employee_count,subscription_plan,annual_contract_value,monthly_recurring_revenue,country,region,created_at,contract_start_date,contract_end_date,account_status,churn_status,churn_date,health_score,customer_success_owner,support_plan
acct_0001,Northstar Studios 000,agency,education,80,team,5176.84,431.4,AU,North America,2025-04-16T00:00:00Z,2025-04-21T00:00:00Z,2026-04-21T00:00:00Z,active,not_churned,,62,,email_chat
acct_0002,Bluefield Collective 001,small_business,manufacturing,48,team,6285.82,523.82,AU,Europe,2023-08-07T00:00:00Z,2023-08-18T00:00:00Z,2024-08-17T00:00:00Z,active,not_churned,,76,,email_chat
acct_0003,Keystone Group 002,mid_market,consulting,649,enterprise,107352.23,8946.02,FR,Europe,2024-11-15T00:00:00Z,2024-11-23T00:00:00Z,2025-11-23T00:00:00Z,trial,not_churned,,38,csm_06,dedicated
acct_0004,Juniper Systems 003,individual,consulting,1,starter,680.29,56.69,GB,Europe,2025-04-28T00:00:00Z,2025-06-17T00:00:00Z,2026-06-17T00:00:00Z,active,not_churned,,64,,email
acct_0005,Riverbend Solutions 004,enterprise,software,6241,enterprise,122799.19,10233.27,IN,Europe,2023-08-22T00:00:00Z,2023-09-20T00:00:00Z,2024-09-19T00:00:00Z,trial,not_churned,,40,csm_04,dedicated
acct_0006,Metroline Labs 005,agency,retail,160,team,4373.82,364.49,IN,Asia Pacific,2025-03-18T00:00:00Z,2025-04-02T00:00:00Z,2026-04-02T00:00:00Z,active,not_churned,,45,,email_chat
acct_0007,Clearpath Partners 006,mid_market,construction,1041,business,35878.76,2989.9,GB,North America,2023-08-14T00:00:00Z,2023-09-06T00:00:00Z,2024-09-05T00:00:00Z,churned,churned,2025-05-31T00:00:00Z,22,csm_07,priority
acct_0008,Summit Digital 007,mid_market,education,634,enterprise,165147.24,13762.27,BR,Asia Pacific,2023-09-01T00:00:00Z,2023-09-06T00:00:00Z,2024-09-05T00:00:00Z,active,not_churned,,96,csm_06,dedicated
acct_0009,Harbor Services 008,enterprise,software,3091,enterprise,178280.02,14856.67,BR,North America,2024-07-08T00:00:00Z,2024-09-04T00:00:00Z,2025-09-04T00:00:00Z,active,not_churned,,61,csm_05,dedicated
acct_0010,Brightlane Works 009,mid_market,consulting,536,business,28724.15,2393.68,DE,North America,2023-06-03T00:00:00Z,2023-07-23T00:00:00Z,2024-07-22T00:00:00Z,active,not_churned,,90,csm_15,priority
acct_0011,Northstar Studios 010,small_business,manufacturing,72,team,4276.46,356.37,IN,Europe,2024-08-30T00:00:00Z,2024-09-01T00:00:00Z,2025-09-01T00:00:00Z,active,not_churned,,96,,email_chat
acct_0012,Bluefield Collective 011,mid_market,consulting,199,business,25555.73,2129.64,AU,Latin America,2024-06-18T00:00:00Z,2024-07-06T00:00:00Z,2025-07-06T00:00:00Z,active,not_churned,,42,csm_10,priority
acct_0013,Keystone Group 012,small_business,consulting,14,team,3931.99,327.67,IN,Europe,2023-09-13T00:00:00Z,2023-11-06T00:00:00Z,2024-11-05T00:00:00Z,active,not_churned,,90,,email_chat
acct_0014,Juniper Systems 013,individual,manufacturing,3,starter,383.53,31.96,FR,Latin America,2024-12-25T00:00:00Z,2025-01-30T00:00:00Z,2026-01-30T00:00:00Z,active,not_churned,,33,,email
acct_0015,Riverbend Solutions 014,small_business,construction,62,starter,754.21,62.85,GB,Europe,2023-04-19T00:00:00Z,2023-06-11T00:00:00Z,2024-06-10T00:00:00Z,trial,not_churned,,43,,email
acct_0016,Metroline Labs 015,small_business,software,65,team,4724.16,393.68,DE,North America,2024-04-15T00:00:00Z,2024-04-20T00:00:00Z,2025-04-20T00:00:00Z,active,not_churned,,44,,email_chat
acct_0017,Clearpath Partners 016,individual,manufacturing,3,starter,596.99,49.75,AU,North America,2024-10-29T00:00:00Z,2024-11-06T00:00:00Z,2025-11-06T00:00:00Z,churned,churned,2026-09-02T00:00:00Z,12,,email
acct_0018,Summit Digital 017,agency,education,69,business,17551.03,1462.59,AU,North America,2024-04-24T00:00:00Z,2024-05-05T00:00:00Z,2025-05-05T00:00:00Z,active,not_churned,,29,csm_05,priority
