opportunity_id,account_id,deal_stage,estimated_deal_value,created_at
opp_0001,acct_0409,proposal,286233.04,2025-02-03T00:00:00Z
opp_0002,acct_0273,closed_won,3930.21,2026-01-11T00:00:00Z
opp_0003,acct_0457,closed_won,7426.98,2024-07-13T00:00:00Z
opp_0004,acct_0236,security_review,3044.68,2025-07-05T00:00:00Z
opp_0005,acct_0144,security_review,162535.26,2025-12-17T00:00:00Z
opp_0006,acct_0331,closed_won,3039.81,2025-11-16T00:00:00Z
opp_0007,acct_0207,closed_won,182994.64,2026-01-11T00:00:00Z
opp_0008,acct_0073,closed_lost,615.39,2024-03-29T00:00:00Z
opp_0009,acct_0279,discovery,3680.99,2024-04-10T00:00:00Z
opp_0010,acct_0219,discovery,159144.73,2025-01-10T00:00:00Z
opp_0011,acct_0433,procurement,228771.02,2024-11-23T00:00:00Z
opp_0012,acct_0231,closed_lost,689.21,2024-12-15T00:00:00Z
opp_0013,acct_0207,procurement,217404.61,2025-06-14T00:00:00Z
opp_0014,acct_0133,closed_lost,521.73,2024-04-20T00:00:00Z
opp_0015,acct_0129,closed_lost,4828.85,2025-05-13T00:00:00Z
opp_0016,acct_0257,procurement,27814.03,2025-07-03T00:00:00Z
opp_0017,acct_0282,closed_won,418.94,2025-12-17T00:00:00Z
opp_0018,acct_0391,procurement,162851.52,2025-03-29T00:00:00Z
opp_0019,acct_0199,procurement,788.47,2025-02-28T00:00:00Z
opp_0020,acct_0170,closed_lost,247255.2,2025-03-10T00:00:00Z
opp_0021,acct_0355,discovery,3496.23,2025-04-01T00:00:00Z
opp_0022,acct_0387,closed_won,456.54,2024-06-29T00:00:00Z
opp_0023,acct_0240,closed_lost,395.41,2024-06-30T00:00:00Z
opp_0024,acct_0413,closed_won,6182.11,2025-04-03T00:00:00Z
opp_0025,acct_0059,closed_lost,214347.08,2024-06-11T00:00:00Z
opp_0026,acct_0456,proposal,7540.85,2024-02-11T00:00:00Z
opp_0027,acct_0389,closed_lost,175527.65,2025-09-24T00:00:00Z
opp_0028,acct_0389,security_review,241187.32,2025-12-19T00:00:00Z
opp_0029,acct_0010,security_review,30594.53,2024-11-09T00:00:00Z
opp_0030,acct_0287,procurement,27359.47,2024-02-09T00:00:00Z
opp_0031,acct_0058,discovery,528.68,2024-04-11T00:00:00Z
opp_0032,acct_0253,closed_lost,235819.61,2024-05-23T00:00:00Z
opp_0033,acct_0439,closed_won,283913.98,2024-03-23T00:00:00Z
opp_0034,acct_0055,discovery,149375.85,2026-01-15T00:00:00Z
opp_0035,acct_0110,procurement,188089.49,2025-11-17T00:00:00Z
opp_0036,acct_0342,procurement,39304.41,2024-05-21T00:00:00Z
opp_0037,acct_0167,discovery,242725.93,2025-10-08T00:00:00Z
opp_0038,acct_0001,procurement,5707.92,2025-07-02T00:00:00Z
opp_0039,acct_0358,security_review,43896.64,2025-07-18T00:00:00Z
opp_0040,acct_0054,discovery,920.8,2024-04-14T00:00:00Z
opp_0041,acct_0491,closed_lost,4816.1,2025-04-19T00:00:00Z
opp_0042,acct_0145,security_review,492.37,2025-08-02T00:00:00Z
opp_0043,acct_0199,proposal,662.26,2024-09-29T00:00:00Z
opp_0044,acct_0128,closed_won,208174.17,2025-07-19T00:00:00Z
opp_0045,acct_0120,closed_lost,576.97,2024-08-23T00:00:00Z
opp_0046,acct_0044,security_review,233385.21,2024-02-02T00:00:00Z
opp_0047,acct_0455,closed_lost,693.64,2025-06-19T00:00:00Z
opp_0048,acct_0497,proposal,8177.7,2025-05-12T00:00:00Z
opp_0049,acct_0418,closed_lost,31837.86,2025-04-10T00:00:00Z
opp_0050,acct_0437,closed_won,249711.6,2025-01-20T00:00:00Z
opp_0051,acct_0426,security_review,316303.77,2024-08-18T00:00:00Z
opp_0052,acct_0373,procurement,2570.03,2025-06-03T00:00:00Z
opp_0053,acct_0499,closed_lost,17266.29,2024-07-28T00:00:00Z
opp_0054,acct_0056,procurement,4578.77,2024-07-10T00:00:00Z
opp_0055,acct_0115,proposal,265.63,2025-09-26T00:00:00Z
opp_0056,acct_0039,security_review,27687.85,2024-11-13T00:00:00Z
opp_0057,acct_0372,proposal,29964.57,2025-10-06T00:00:00Z
opp_0058,acct_0047,discovery,9176.13,2024-07-05T00:00:00Z
opp_0059,acct_0378,closed_lost,706.68,2025-01-02T00:00:00Z
opp_0060,acct_0059,discovery,203974.47,2025-11-08T00:00:00Z
opp_0061,acct_0215,discovery,4673.24,2024-11-28T00:00:00Z
opp_0062,acct_0432,closed_lost,4106.51,2025-12-08T00:00:00Z
opp_0063,acct_0302,discovery,195512.45,2025-04-14T00:00:00Z
opp_0064,acct_0319,discovery,27739.33,2024-10-02T00:00:00Z
opp_0065,acct_0131,proposal,269725.7,2025-02-25T00:00:00Z
opp_0066,acct_0385,security_review,382.31,2024-10-15T00:00:00Z
opp_0067,acct_0063,closed_lost,723.57,2025-01-13T00:00:00Z
opp_0068,acct_0238,proposal,470.86,2024-04-29T00:00:00Z
opp_0069,acct_0336,discovery,260651.41,2025-11-19T00:00:00Z
opp_0070,acct_0069,security_review,202804.42,2025-07-29T00:00:00Z
opp_0071,acct_0167,proposal,264998.95,2025-10-01T00:00:00Z
opp_0072,acct_0257,closed_won,24342.11,2025-07-13T00:00:00Z
opp_0073,acct_0292,discovery,38919.47,2025-10-04T00:00:00Z
opp_0074,acct_0228,proposal,333638.98,2024-08-13T00:00:00Z
opp_0075,acct_0487,discovery,187267.8,2024-05-05T00:00:00Z
opp_0076,acct_0447,closed_won,832.32,2025-10-06T00:00:00Z
opp_0077,acct_0472,security_review,98668.84,2025-02-15T00:00:00Z
opp_0078,acct_0306,procurement,802.87,2025-12-21T00:00:00Z
opp_0079,acct_0409,proposal,196173.25,2025-06-30T00:00:00Z
opp_0080,acct_0105,security_review,134340.61,2026-01-18T00:00:00Z
opp_0081,acct_0089,procurement,253935.71,2025-08-04T00:00:00Z
opp_0082,acct_0237,security_review,687.52,2025-02-05T00:00:00Z
opp_0083,acct_0270,security_review,229894.74,2025-07-20T00:00:00Z
opp_0084,acct_0184,closed_lost,152534.46,2025-10-21T00:00:00Z
opp_0085,acct_0314,closed_lost,34567.31,2026-01-04T00:00:00Z
opp_0086,acct_0295,discovery,568.33,2024-09-03T00:00:00Z
opp_0087,acct_0151,proposal,5694.29,2024-10-28T00:00:00Z
opp_0088,acct_0384,closed_lost,30500.06,2025-03-21T00:00:00Z
opp_0089,acct_0238,procurement,400.36,2024-12-11T00:00:00Z
opp_0090,acct_0354,procurement,307653.86,2025-11-03T00:00:00Z
opp_0091,acct_0388,security_review,332269.61,2025-04-15T00:00:00Z
opp_0092,acct_0484,procurement,23851.3,2024-11-11T00:00:00Z
opp_0093,acct_0436,discovery,156658.21,2024-07-03T00:00:00Z
opp_0094,acct_0331,closed_won,3658.01,2025-03-11T00:00:00Z
opp_0095,acct_0307,closed_lost,150881.68,2024-06-14T00:00:00Z
opp_0096,acct_0407,proposal,299.24,2024-04-25T00:00:00Z
opp_0097,acct_0249,procurement,211469.3,2026-01-21T00:00:00Z
opp_0098,acct_0437,security_review,154016.35,2025-11-19T00:00:00Z
opp_0099,acct_0021,proposal,232774.56,2024-12-14T00:00:00Z
opp_0100,acct_0377,security_review,411.24,2024-08-14T00:00:00Z
opp_0101,acct_0121,closed_lost,829.51,2026-01-03T00:00:00Z
opp_0102,acct_0262,procurement,209808.78,2024-09-17T00:00:00Z
opp_0103,acct_0077,closed_won,167356.43,2025-04-23T00:00:00Z
opp_0104,acct_0170,closed_lost,241231.94,2025-03-26T00:00:00Z
opp_0105,acct_0298,proposal,134376.74,2025-08-18T00:00:00Z
opp_0106,acct_0243,closed_won,21473.73,2024-11-15T00:00:00Z
opp_0107,acct_0201,proposal,137804.07,2025-08-26T00:00:00Z
opp_0108,acct_0061,procurement,188844.98,2025-10-09T00:00:00Z
opp_0109,acct_0266,closed_lost,137517.8,2025-11-14T00:00:00Z
opp_0110,acct_0354,proposal,281413.9,2025-04-06T00:00:00Z
opp_0111,acct_0479,procurement,39624.69,2024-08-02T00:00:00Z
opp_0112,acct_0389,closed_won,157264.84,2025-01-03T00:00:00Z
opp_0113,acct_0420,proposal,162036.01,2025-12-14T00:00:00Z
opp_0114,acct_0091,proposal,3193.93,2025-01-31T00:00:00Z
opp_0115,acct_0072,discovery,6536.04,2024-09-17T00:00:00Z
opp_0116,acct_0418,closed_won,33917.4,2025-03-27T00:00:00Z
opp_0117,acct_0483,discovery,7506.38,2024-12-24T00:00:00Z
opp_0118,acct_0042,security_review,30559.91,2025-04-14T00:00:00Z
opp_0119,acct_0443,procurement,34473.08,2024-09-07T00:00:00Z
opp_0120,acct_0174,discovery,625.9,2024-07-12T00:00:00Z
opp_0121,acct_0425,discovery,42190.95,2024-08-03T00:00:00Z
opp_0122,acct_0183,proposal,20083.14,2024-06-17T00:00:00Z
opp_0123,acct_0267,procurement,202665.76,2024-10-12T00:00:00Z
opp_0124,acct_0048,closed_won,175437.26,2025-07-08T00:00:00Z
opp_0125,acct_0194,security_review,185988.45,2025-08-18T00:00:00Z
opp_0126,acct_0420,procurement,146715.51,2024-02-11T00:00:00Z
opp_0127,acct_0082,procurement,44571.4,2025-11-04T00:00:00Z
opp_0128,acct_0198,closed_lost,4302.14,2024-02-21T00:00:00Z
opp_0129,acct_0285,closed_won,7372.88,2025-10-04T00:00:00Z
opp_0130,acct_0458,closed_won,375.35,2025-01-06T00:00:00Z
opp_0131,acct_0212,discovery,612.45,2024-09-08T00:00:00Z
opp_0132,acct_0259,discovery,148579.97,2024-09-27T00:00:00Z
opp_0133,acct_0222,security_review,5420.13,2024-12-20T00:00:00Z
opp_0134,acct_0019,closed_won,228353.88,2025-08-24T00:00:00Z
opp_0135,acct_0060,security_review,142875.23,2024-06-06T00:00:00Z
opp_0136,acct_0308,closed_lost,24423.78,2024-02-01T00:00:00Z
opp_0137,acct_0151,procurement,5033.76,2024-11-02T00:00:00Z
opp_0138,acct_0088,closed_won,419.66,2026-01-02T00:00:00Z
opp_0139,acct_0218,security_review,694.09,2024-02-12T00:00:00Z
opp_0140,acct_0304,security_review,26150.51,2024-03-29T00:00:00Z
opp_0141,acct_0045,closed_lost,5062.78,2024-10-19T00:00:00Z
opp_0142,acct_0495,proposal,20771.59,2024-02-11T00:00:00Z
opp_0143,acct_0039,closed_lost,26958.16,2025-10-22T00:00:00Z
opp_0144,acct_0443,proposal,35914.98,2025-11-15T00:00:00Z
opp_0145,acct_0152,proposal,8635.48,2025-04-14T00:00:00Z
opp_0146,acct_0224,discovery,233023.38,2025-11-23T00:00:00Z
opp_0147,acct_0370,proposal,423.43,2024-08-11T00:00:00Z
opp_0148,acct_0318,discovery,823.28,2024-03-18T00:00:00Z
opp_0149,acct_0178,discovery,21049.3,2024-07-01T00:00:00Z
opp_0150,acct_0349,proposal,101599.67,2024-09-28T00:00:00Z
opp_0151,acct_0218,security_review,773.34,2025-09-05T00:00:00Z
opp_0152,acct_0474,procurement,32175.35,2025-09-01T00:00:00Z
