opportunity_id,account_id,deal_stage,estimated_deal_value,created_at
opp_0001,acct_0005,procurement,235941.22,2024-04-04T00:00:00Z
opp_0002,acct_0022,discovery,635.27,2024-09-18T00:00:00Z
opp_0003,acct_0023,closed_won,21473.94,2025-04-21T00:00:00Z
opp_0004,acct_0014,closed_won,4311.97,2024-10-11T00:00:00Z
opp_0005,acct_0011,discovery,133334.34,2025-05-01T00:00:00Z
opp_0006,acct_0002,procurement,567.74,2024-05-17T00:00:00Z
opp_0007,acct_0009,discovery,741.5,2025-02-10T00:00:00Z
opp_0008,acct_0005,closed_lost,173161.6,2024-05-14T00:00:00Z
opp_0009,acct_0001,proposal,604.17,2024-02-07T00:00:00Z
opp_0010,acct_0002,proposal,434.76,2024-11-06T00:00:00Z
opp_0011,acct_0024,proposal,749.9,2024-12-31T00:00:00Z
opp_0012,acct_0005,security_review,286772.1,2025-09-23T00:00:00Z
opp_0013,acct_0022,closed_lost,569.04,2025-05-05T00:00:00Z
opp_0014,acct_0018,closed_lost,233723.66,2025-04-27T00:00:00Z
opp_0015,acct_0014,closed_lost,4880.74,2024-02-01T00:00:00Z
opp_0016,acct_0005,discovery,263734.76,2024-04-07T00:00:00Z
opp_0017,acct_0023,proposal,16834.04,2024-02-14T00:00:00Z
opp_0018,acct_0006,closed_lost,5657.97,2024-10-26T00:00:00Z
opp_0019,acct_0003,closed_won,48480.86,2024-12-29T00:00:00Z
opp_0020,acct_0003,proposal,39431.02,2024-02-09T00:00:00Z
opp_0021,acct_0011,closed_won,100367.74,2024-09-03T00:00:00Z
opp_0022,acct_0025,discovery,26616.51,2025-12-09T00:00:00Z
opp_0023,acct_0006,closed_won,5319.2,2024-10-15T00:00:00Z
opp_0024,acct_0022,closed_lost,678.49,2025-07-28T00:00:00Z
opp_0025,acct_0007,proposal,246259.85,2025-08-27T00:00:00Z
